tamanhoBuffer,min,max,numExecucao,numRemocao,numCompactacao,garbagePercent,bloco,tamanhoMedioReq,tamanhoMedioBloco,tempo
4096,16,1024,1000,15411,991,40,1,530,530,295679603
4096,16,1024,1000,16779,992,40,1,511,511,320824944
4096,16,1024,1000,18454,992,40,1,512,512,339164929
8192,16,1024,1000,1139,982,40,1,515,515,95949150
8192,16,1024,1000,197,985,40,1,527,527,65941883
8192,16,1024,1000,192,981,40,1,513,513,69707083
8192,16,1024,1000,188,983,40,1,506,506,74824799
8192,16,1024,1000,198,987,40,1,522,522,67010143
8192,16,1024,1000,203,987,40,1,516,516,70108152
8192,16,1024,1000,1225,986,40,1,532,532,93962914
8192,16,1024,1000,967,986,40,1,509,509,107577049
8192,16,1024,1000,208,985,40,1,540,540,71039579
8192,16,1024,1000,194,986,40,1,511,511,71165029
16384,16,1024,1000,89,974,40,1,518,518,76767310
16384,16,1024,1000,93,978,40,1,536,536,77672253
16384,16,1024,1000,88,972,40,1,519,519,69236298
16384,16,1024,1000,85,973,40,1,495,495,78248648
16384,16,1024,1000,87,971,40,1,504,504,74612512
16384,16,1024,1000,90,978,40,1,525,525,74390895
16384,16,1024,1000,87,969,40,1,517,517,73452153
16384,16,1024,1000,89,973,40,1,525,525,71628272
16384,16,1024,1000,91,974,40,1,524,524,89535159
16384,16,1024,1000,89,967,40,1,523,523,69905839
1024,16,1024,1000,14329,998,50,1,512,512,164920805
1024,16,1024,1000,12562,997,50,1,539,539,137150726
1024,16,1024,1000,16949,998,50,1,509,509,165074688
1024,16,1024,1000,14933,996,50,1,528,528,191171410
1024,16,1024,1000,13612,998,50,1,509,509,152651093
1024,16,1024,1000,12651,997,50,1,533,533,167149980
1024,16,1024,1000,15610,998,50,1,507,507,168010700
1024,16,1024,1000,13124,998,50,1,515,515,165073614
1024,16,1024,1000,18562,996,50,1,527,527,181202628
1024,16,1024,1000,18249,996,50,1,511,511,222287736
2048,16,1024,1000,46600,995,50,1,521,521,537778127
2048,16,1024,1000,36977,995,50,1,515,515,449471020
2048,16,1024,1000,38668,996,50,1,506,506,453670938
2048,16,1024,1000,41358,996,50,1,531,531,462643312
2048,16,1024,1000,41815,995,50,1,524,524,471628832
2048,16,1024,1000,40325,995,50,1,538,538,439896632
2048,16,1024,1000,42591,996,50,1,523,523,483708992
2048,16,1024,1000,42826,997,50,1,533,533,472285297
2048,16,1024,1000,41913,997,50,1,534,534,443005847
2048,16,1024,1000,31748,996,50,1,515,515,352175811
4096,16,1024,1000,2202,993,50,1,517,517,93965324
4096,16,1024,1000,1147,994,50,1,545,545,90007722
4096,16,1024,1000,1680,995,50,1,517,517,89056629
4096,16,1024,1000,2526,993,50,1,505,505,93183817
4096,16,1024,1000,5288,993,50,1,516,516,142780087
4096,16,1024,1000,461,995,50,1,518,518,62811355
4096,16,1024,1000,7670,993,50,1,522,522,189858445
4096,16,1024,1000,2543,995,50,1,523,523,106585073
4096,16,1024,1000,4835,989,50,1,514,514,134700599
4096,16,1024,1000,1622,993,50,1,533,533,86964259
8192,16,1024,1000,149,987,50,1,524,524,73042260
8192,16,1024,1000,150,991,50,1,520,520,95466298
8192,16,1024,1000,145,985,50,1,522,522,82997410
8192,16,1024,1000,148,987,50,1,528,528,67071022
8192,16,1024,1000,151,990,50,1,525,525,65726512
8192,16,1024,1000,150,992,50,1,521,521,77688995
8192,16,1024,1000,152,983,50,1,536,536,68430115
8192,16,1024,1000,148,987,50,1,515,515,64202245
8192,16,1024,1000,160,985,50,1,505,505,69638930
8192,16,1024,1000,147,989,50,1,521,521,65328118
16384,16,1024,1000,69,974,50,1,505,505,71709120
16384,16,1024,1000,70,981,50,1,525,525,71130850
16384,16,1024,1000,67,978,50,1,515,515,71223002
16384,16,1024,1000,68,979,50,1,515,515,76591712
16384,16,1024,1000,69,980,50,1,524,524,72787346
16384,16,1024,1000,67,976,50,1,509,509,95737943
16384,16,1024,1000,69,974,50,1,531,531,73884463
16384,16,1024,1000,67,971,50,1,510,510,67241284
16384,16,1024,1000,72,983,50,1,535,535,76804727
16384,16,1024,1000,70,977,50,1,529,529,73440955
1024,16,1024,1000,13546,997,60,1,514,514,147386701
1024,16,1024,1000,12676,996,60,1,542,542,128116869
1024,16,1024,1000,15363,997,60,1,522,522,169509882
1024,16,1024,1000,12576,997,60,1,522,522,172338558
1024,16,1024,1000,15950,998,60,1,518,518,166708749
1024,16,1024,1000,10576,998,60,1,537,537,116961566
1024,16,1024,1000,10847,998,60,1,515,515,128467278
1024,16,1024,1000,16104,997,60,1,503,503,169184551
1024,16,1024,1000,14231,998,60,1,528,528,169243406
1024,16,1024,1000,13572,996,60,1,506,506,136997031
2048,16,1024,1000,16297,997,60,1,512,512,207953774
2048,16,1024,1000,13336,994,60,1,510,510,188268235
2048,16,1024,1000,16225,996,60,1,493,493,220840654
2048,16,1024,1000,16021,995,60,1,529,529,207723275
2048,16,1024,1000,14112,995,60,1,518,518,173710179
2048,16,1024,1000,15298,997,60,1,506,506,186760311
2048,16,1024,1000,13794,995,60,1,501,501,170918229
2048,16,1024,1000,11851,995,60,1,522,522,150397978
2048,16,1024,1000,16608,995,60,1,542,542,216928513
2048,16,1024,1000,14527,998,60,1,511,511,213943987
4096,16,1024,1000,248,994,60,1,519,519,62050577
4096,16,1024,1000,264,989,60,1,518,518,66117942
4096,16,1024,1000,251,994,60,1,520,520,62322956
4096,16,1024,1000,334,996,60,1,537,537,64233553
4096,16,1024,1000,1104,994,60,1,522,522,80190051
4096,16,1024,1000,556,992,60,1,517,517,70058570
4096,16,1024,1000,243,991,60,1,513,513,63333721
4096,16,1024,1000,1417,994,60,1,522,522,79301936
4096,16,1024,1000,647,994,60,1,536,536,81035134
4096,16,1024,1000,1244,995,60,1,524,524,77640829
8192,16,1024,1000,117,988,60,1,519,519,70565415
8192,16,1024,1000,116,990,60,1,522,522,72093326
8192,16,1024,1000,112,990,60,1,504,504,71729123
8192,16,1024,1000,117,987,60,1,524,524,69301295
8192,16,1024,1000,114,991,60,1,509,509,65613330
8192,16,1024,1000,117,985,60,1,526,526,75335544
8192,16,1024,1000,114,989,60,1,510,510,62091457
8192,16,1024,1000,113,992,60,1,509,509,60431175
8192,16,1024,1000,117,984,60,1,517,517,66265523
8192,16,1024,1000,119,984,60,1,533,533,64763818
16384,16,1024,1000,54,985,60,1,504,504,69249455
16384,16,1024,1000,55,980,60,1,514,514,66722956
16384,16,1024,1000,55,975,60,1,516,516,69425071
16384,16,1024,1000,55,983,60,1,516,516,70186809
16384,16,1024,1000,58,975,60,1,544,544,76630183
16384,16,1024,1000,55,970,60,1,519,519,65774179
16384,16,1024,1000,54,968,60,1,521,521,71183747
16384,16,1024,1000,55,975,60,1,526,526,69476566
16384,16,1024,1000,56,980,60,1,530,530,68662059
16384,16,1024,1000,55,976,60,1,516,516,67932305
1024,16,1024,1000,9049,998,70,1,531,531,122205114
1024,16,1024,1000,10542,997,70,1,516,516,136641190
1024,16,1024,1000,9105,996,70,1,500,500,109661110
1024,16,1024,1000,9851,997,70,1,514,514,118348252
1024,16,1024,1000,14079,997,70,1,508,508,137647378
1024,16,1024,1000,13347,998,70,1,511,511,155066163
1024,16,1024,1000,8827,998,70,1,530,530,121254318
1024,16,1024,1000,8418,998,70,1,512,512,110213719
1024,16,1024,1000,10467,998,70,1,513,513,123655601
1024,16,1024,1000,12143,998,70,1,528,528,143261602
2048,16,1024,1000,5893,997,70,1,525,525,120083633
2048,16,1024,1000,4503,998,70,1,523,523,106741767
2048,16,1024,1000,4993,995,70,1,515,515,104133722
2048,16,1024,1000,4476,998,70,1,529,529,104006137
2048,16,1024,1000,5288,998,70,1,515,515,104707532
2048,16,1024,1000,3221,997,70,1,512,512,96530105
2048,16,1024,1000,4472,997,70,1,509,509,101902583
2048,16,1024,1000,5119,996,70,1,515,515,104521732
2048,16,1024,1000,7006,997,70,1,531,531,130384209
2048,16,1024,1000,2863,995,70,1,500,500,87732040
4096,16,1024,1000,206,994,70,1,513,513,58310621
4096,16,1024,1000,210,993,70,1,530,530,59456299
4096,16,1024,1000,201,997,70,1,506,506,64654873
4096,16,1024,1000,215,995,70,1,535,535,58811895
4096,16,1024,1000,202,989,70,1,511,511,62456056
4096,16,1024,1000,213,991,70,1,523,523,64536977
4096,16,1024,1000,211,995,70,1,521,521,61565574
4096,16,1024,1000,198,997,70,1,496,496,61040873
4096,16,1024,1000,211,994,70,1,518,518,66150796
4096,16,1024,1000,206,993,70,1,521,521,65277876
8192,16,1024,1000,101,986,70,1,522,522,71597380
8192,16,1024,1000,95,985,70,1,507,507,67718920
8192,16,1024,1000,102,985,70,1,531,531,63669299
8192,16,1024,1000,103,989,70,1,528,528,61238918
8192,16,1024,1000,97,985,70,1,509,509,61795237
8192,16,1024,1000,99,992,70,1,524,524,66207448
8192,16,1024,1000,101,991,70,1,532,532,67394293
8192,16,1024,1000,98,985,70,1,514,514,66133682
8192,16,1024,1000,97,983,70,1,522,522,72480275
8192,16,1024,1000,98,987,70,1,514,514,66593876
16384,16,1024,1000,48,987,70,1,532,532,68018013
16384,16,1024,1000,44,974,70,1,496,496,68081012
16384,16,1024,1000,46,973,70,1,514,514,69031197
16384,16,1024,1000,46,977,70,1,519,519,78844175
16384,16,1024,1000,46,975,70,1,516,516,71637984
16384,16,1024,1000,45,980,70,1,501,501,71616853
16384,16,1024,1000,46,974,70,1,515,515,74551909
16384,16,1024,1000,46,982,70,1,512,512,70494449
16384,16,1024,1000,46,975,70,1,508,508,77740459
16384,16,1024,1000,47,982,70,1,514,514,67970324
1024,16,1024,1000,10939,998,80,1,508,508,123236258
1024,16,1024,1000,8883,996,80,1,533,533,104343735
1024,16,1024,1000,11324,998,80,1,516,516,145710349
