tamanhoMem,minBloco,requisicoes, - ,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
1024,32,60,1,10,1,0.02,0.01,0.01,38124
1024,32,60,1,20,1,0.02,0.00,0.02,38380
1024,32,60,1,30,1,0.02,0.01,0.01,38120
1024,32,60,1,40,1,0.02,0.01,0.01,38108
1024,32,60,1,50,1,0.02,0.01,0.01,38416
1024,32,60,1,60,1,0.02,0.01,0.01,38296
1024,32,60,1,70,1,0.02,0.00,0.02,38244
1024,32,60,1,80,1,0.02,0.01,0.01,38084
1024,32,60,1,90,1,0.02,0.00,0.02,38360
1024,32,60,1,100,1,0.02,0.01,0.01,38368
1024,32,100,1,0,1,0.02,0.01,0.01,38168
1024,32,100,1,10,1,0.02,0.01,0.01,38052
1024,32,100,1,20,1,0.02,0.01,0.01,38080
1024,32,100,1,30,1,0.02,0.01,0.01,38236
1024,32,100,1,40,1,0.02,0.01,0.01,37940
1024,32,100,1,50,1,0.02,0.01,0.01,38124
1024,32,100,1,60,1,0.02,0.00,0.02,38208
1024,32,100,1,70,1,0.02,0.01,0.01,38008
1024,32,100,1,80,1,0.02,0.01,0.01,38012
1024,32,100,1,90,1,0.02,0.01,0.01,38052
1024,32,100,1,100,1,0.02,0.01,0.01,38252
1024,32,1000,1,0,1,0.02,0.01,0.01,38984
1024,32,1000,1,10,1,0.02,0.01,0.01,39008
1024,32,1000,1,20,1,0.02,0.01,0.01,38920
1024,32,1000,1,30,1,0.02,0.01,0.01,38420
1024,32,1000,1,40,1,0.02,0.01,0.01,38668
1024,32,1000,1,50,1,0.02,0.01,0.02,38916
1024,32,1000,1,60,1,0.02,0.01,0.01,39064
1024,32,1000,1,70,1,0.02,0.01,0.01,39032
1024,32,1000,1,80,1,0.02,0.01,0.01,38892
1024,32,1000,1,90,1,0.02,0.01,0.01,38596
1024,32,1000,1,100,1,0.02,0.01,0.01,38756
1024,64,10,1,0,1,0.02,0.01,0.01,38184
1024,64,10,1,10,1,0.02,0.00,0.01,38168
1024,64,10,1,20,1,0.02,0.01,0.01,38056
1024,64,10,1,30,1,0.02,0.01,0.01,37880
1024,64,10,1,40,1,0.02,0.01,0.01,38300
