tamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
4096,64,20,0,0,105826,,,,
1024,4,30,0,60,105896,,,,
2048,16,20,0,40,105946,,,,
2048,64,30,0,100,105946,,,,
4096,16,20,0,30,105986,,,,
2048,32,20,0,30,106047,,,,
4096,2,30,0,0,106136,,,,
8192,64,20,0,70,106236,,,,
8192,16,20,0,60,106286,,,,
8192,2,30,0,0,106407,,,,
8192,32,20,0,0,106487,,,,
8192,16,20,0,30,106547,,,,
4096,32,20,0,80,106577,,,,
4096,4,30,0,100,106668,,,,
4096,64,20,0,80,106668,,,,
8192,16,20,0,10,106818,,,,
2048,32,20,0,80,106988,,,,
1024,2,30,0,90,106998,,,,
8192,4,30,0,40,107038,,,,
4096,16,20,0,50,107059,,,,
4096,16,20,0,10,107238,,,,
8192,16,20,0,80,107359,,,,
4096,16,20,0,80,107379,,,,
8192,2,30,0,100,107549,,,,
8192,32,20,0,20,107730,,,,
4096,32,20,0,0,107950,,,,
4096,32,20,0,50,107970,,,,
8192,64,20,0,20,108161,,,,
8192,32,20,0,100,108320,,,,
4096,64,20,0,70,108371,,,,
4096,32,20,0,20,108420,,,,
4096,16,20,0,100,108551,,,,
4096,16,20,0,40,108641,,,,
8192,2,30,0,20,108731,,,,
8192,16,20,0,20,108762,,,,
1024,2,30,0,60,108801,,,,
4096,64,20,0,20,108802,,,,
4096,32,20,0,100,108832,,,,
8192,32,20,0,30,108932,,,,
4096,32,20,0,70,109042,,,,
8192,64,20,0,90,109162,,,,
8192,32,20,0,40,109182,,,,
2048,2,40,0,50,109192,,,,
8192,32,20,0,90,109272,,,,
8192,16,20,0,70,109422,,,,
8192,64,20,0,80,109593,,,,
2048,32,20,0,60,109834,,,,
4096,4,30,0,30,109974,,,,
8192,16,20,0,100,110084,,,,
8192,32,20,0,60,110324,,,,
4096,2,40,0,20,110464,,,,
8192,16,20,0,40,110585,,,,
8192,64,20,0,10,110615,,,,
8192,64,20,0,100,110965,,,,
8192,2,30,0,30,111256,,,,
8192,2,40,0,20,111286,,,,
4096,64,20,0,100,111416,,,,
4096,32,20,0,90,111616,,,,
2048,64,30,0,30,111656,,,,
4096,64,20,0,30,111697,,,,
8192,32,20,0,10,111807,,,,
