tamanhoMem,minBloco,requisicoes,threads,cleaningPercent,execucao,real_time,user_time,sys_time,max_memory_kb
1024,64,40,1,100,378990,,,,
4096,32,100,1,30,378991,,,,
2048,4,50,1,30,379011,,,,
2048,8,60,1,50,379011,,,,
2048,16,50,1,10,379031,,,,
8192,32,100,1,80,379060,,,,
8192,16,10,1,70,379061,,,,
8192,16,30,1,90,379081,,,,
1024,16,100,1,70,379091,,,,
8192,64,30,1,60,379091,,,,
1024,64,60,1,90,379101,,,,
2048,8,100,1,30,379131,,,,
8192,32,10,1,40,379141,,,,
4096,32,100,1,100,379162,,,,
1024,2,60,1,100,379171,,,,
1024,8,30,1,10,379181,,,,
8192,4,30,1,60,379181,,,,
2048,64,40,1,20,379272,,,,
2048,32,40,1,70,379351,,,,
1024,4,20,1,60,379372,,,,
1024,2,30,1,80,379381,,,,
1024,8,10,1,50,379382,,,,
8192,2,60,1,90,379401,,,,
1024,16,50,1,20,379421,,,,
2048,32,20,1,50,379442,,,,
4096,2,10,1,20,379461,,,,
4096,2,100,1,70,379461,,,,
8192,16,30,1,20,379472,,,,
4096,8,50,1,10,379481,,,,
2048,2,20,1,90,379482,,,,
8192,8,60,1,20,379482,,,,
1024,16,20,1,30,379492,,,,
8192,8,60,1,90,379502,,,,
1024,16,100,1,10,379522,,,,
1024,32,60,1,70,379531,,,,
1024,64,20,1,40,379531,,,,
2048,64,10,1,10,379532,,,,
4096,8,30,1,10,379541,,,,
1024,64,10,1,80,379542,,,,
2048,2,60,1,70,379552,,,,
8192,16,60,1,80,379562,,,,
2048,4,100,1,80,379572,,,,
8192,64,20,1,20,379572,,,,
4096,32,60,1,80,379592,,,,
4096,64,60,1,70,379612,,,,
2048,64,100,1,10,379622,,,,
4096,64,30,1,100,379622,,,,
8192,64,40,1,60,379622,,,,
4096,8,40,1,80,379642,,,,
1024,32,30,1,10,379652,,,,
8192,4,60,1,40,379652,,,,
8192,2,20,1,20,379662,,,,
8192,2,100,1,100,379682,,,,
2048,16,30,1,50,379702,,,,
4096,4,10,1,40,379703,,,,
1024,2,50,1,90,379712,,,,
2048,64,100,1,40,379712,,,,
2048,8,10,1,0,379722,,,,
8192,32,10,1,30,379722,,,,
8192,4,10,1,50,379742,,,,
1024,4,40,1,50,379762,,,,
1024,4,10,1,90,379763,,,,
4096,2,60,1,0,379772,,,,
4096,64,30,1,30,379812,,,,
4096,16,60,1,90,379853,,,,
4096,8,20,1,50,379872,,,,
2048,8,100,1,70,379892,,,,
2048,16,10,1,60,379913,,,,
8192,64,10,1,40,379922,,,,
1024,2,20,1,100,379932,,,,
4096,4,60,1,50,379932,,,,
4096,32,30,1,40,379933,,,,
2048,16,30,1,90,379953,,,,
4096,32,10,1,20,379962,,,,
4096,64,20,1,30,379963,,,,
4096,32,20,1,30,379973,,,,
2048,4,10,1,30,379983,,,,
8192,16,10,1,10,379983,,,,
2048,2,10,1,50,379993,,,,
8192,32,50,1,20,380002,,,,
1024,16,60,1,30,380012,,,,
1024,32,60,1,10,380013,,,,
2048,2,40,1,90,380013,,,,
4096,4,50,1,60,380013,,,,
2048,4,40,1,10,380023,,,,
8192,8,100,1,80,380023,,,,
8192,16,30,1,80,380032,,,,
1024,16,50,1,60,380033,,,,
1024,2,20,1,90,380043,,,,
1024,2,50,1,20,380093,,,,
8192,32,30,1,50,380143,,,,
2048,8,60,1,90,380153,,,,
2048,4,10,1,70,380173,,,,
4096,8,20,1,80,380213,,,,
1024,32,10,1,90,380223,,,,
1024,8,20,1,0,380253,,,,
1024,64,10,1,10,380253,,,,
2048,32,40,1,30,380274,,,,
4096,16,50,1,10,380293,,,,
2048,64,20,1,30,380343,,,,
1024,2,20,1,70,380403,,,,
2048,4,100,1,100,380403,,,,
1024,2,50,1,10,380413,,,,
